pools	E
1	2.59256209906198
2	3.80197687453985
3	4.86832061447692
4	0.592882220636401
5	6.20830101770808
6	1.1154404930472
7	1.51313110482176
8	0.47107023849174
9	7.14227666486091
10	8.7597291235904
11	0.586383795048592
12	0.536708105209125
13	5.18969295988917
14	8.07090643833908
15	0.226258779295355
16	3.85158241971845
17	0.311152817199101
18	6.27977540397583
19	4.51320941464114
20	0.29632383707506
21	0.399539737182762
22	5.41833791122593
23	12.9582227824753
24	7.52929926324744
25	6.00587681742266
26	0.650323787748566
27	0.476094243435349
28	5.80859934529232
29	11.0446297298839
30	6.25128001960714
31	0.990475907026929
32	0.617634538809129
33	2.77849135330815
34	3.48420321524099
35	0.113295500048632
36	0.873203182737549
37	2.02415930288966
38	14.0525069725629
39	4.27475209176022
40	12.6531694010171
41	10.3047536072275
42	3.13191660324559
43	2.7979137711503
44	9.83822774348475
45	4.0761287916451
46	6.82313637114264
47	4.31606580671881
48	0.663581206005164
49	1.04547917494096
50	0.226150909792951
51	3.58267712278133
52	4.64184060314992
53	4.5758619951377
54	8.02209505690201
55	2.63291205880085
56	0.263183404604136
57	1.65902305165899
58	4.21624504641435
59	5.15774557573322
60	9.12627432624364
61	20.4603952204644
62	1.27410434706123
63	5.06848256350395
64	7.7265386610023
65	8.1062895676636
66	4.45845684229754
67	1.4606096122525
68	8.2008189393317
69	2.67399455133266
70	20.0852266285527
71	9.14177487492914
72	6.55057858108569
73	0.818563120698681
74	0.404907360051699
75	1.64107064270343
76	48.6677205656942
77	15.3436532166201
78	3.085443169179
79	22.3871437910161
80	15.4145493326467
81	14.1522156125134
82	5.16711196310417
83	10.9188401223999
84	0.198694157308684
85	6.57418743384054
86	4.6999511245518
87	15.2474625128418
88	24.7977868586774
89	8.65279783918563
90	2.52049945360419
91	6.49843269860124
92	0.742482144406718
93	0.854742575601328
94	7.2671472389623
95	6.24461031566352
96	3.29594150456572
97	2.82939568203944
98	4.31364227319019
99	4.68744728083454
100	3.70229443924918
101	9.98568852404395
102	5.34797161047908
103	7.30160462986932
104	4.01891707842561
105	6.02182495082603
106	4.79328408041967
107	6.91137608670243
108	3.40501473315381
109	1.98577660057721
110	7.40397904359591
111	5.25972983239782
112	22.9853884153896
113	8.90753305117075
114	3.97387846659579
115	10.804539321737
116	2.65569253952567
117	1.74896585319848
118	4.292116107273
119	6.49155533502246
120	4.67602992765431
121	7.35165100168343
122	3.89884898911523
123	6.30627537515484
124	3.11620704078697
125	0.222846607855584
126	1.44524968918923
127	0.307439625892355
128	4.86167303129986
129	5.94687933229534
130	13.0789557343454
131	4.82197953791811
132	17.2296304071082
133	3.97032362990857
134	57.5445983612406
135	7.35721461269071
136	0.23507801388351
137	3.48225050997112
138	3.69853739602599
139	2.97543776446128
140	11.936955441198
141	6.8045828932296
142	4.93853104033474
143	1.34227123578963
144	0.318016015493263
145	3.84239521473709
146	2.88171480436789
147	2.89260012672744
148	3.55083081343213
149	2.53647639285226
150	3.12108144987726
151	9.59800469098782
152	1.60558673587066
153	2.75761856447612
154	1.29643408799132
155	45.0711018479448
156	8.16255906862132
157	3.40912455387693
158	7.01109281776588
159	6.38631744157899
160	4.41847163567153
161	4.99352638596935
162	3.84544941590156
163	0.35715280274303
164	4.80564260232128
165	8.46997709746041
166	30.7539454821305
167	6.7620525873214
168	17.4329520062318
169	7.8229177564624
170	8.04493181857316
171	6.48906251900175
172	1.68735315045259
173	6.52152319009406
174	6.65375513749728
175	9.83823036660567
176	10.4053644884055
177	3.04091733884156
178	6.9777464708144
179	1.90872636342582
180	1.24828038314817
181	0.106871821741048
182	0.917974619077742
183	1.82678693959607
184	3.49252046832552
185	4.9457307109949
186	2.89147179340298
187	4.04591505398412
188	0.669187372800717
189	4.6467136705129
190	2.35654569069952
191	12.8612613625958
192	2.86144628816392
193	2.88813894477294
194	5.62287656172192
195	9.77543774489849
196	6.80453876025161
197	0.292376176559696
198	0.139022640419739
199	1.42459697579795
200	5.95544753838929
201	33.4396941919198
202	6.32160217579621
203	12.0981056220524
204	5.28019438040761
205	7.3695854532584
206	7.16657586223692
207	5.09899823363566
208	4.56303686165979
209	5.07958064140828
210	5.61369642601032
211	3.60755985522899
212	8.29828597393875
213	7.58023405901677
214	9.23446903203421
215	9.72658032082472
216	5.0805352658269
217	5.65146624420894
218	4.52399336050692
219	3.93349404640622
220	9.98165686212823
